# g ma[MeV] Ea[MeV] dNdEdtKSVZ[adimensional]
2.e-6 1.e0 9.505e1 3.17242e32
2.e-6 1.e0 9.605e1 2.96883e32
2.e-6 1.e0 9.705e1 2.78246e32
2.e-6 1.e0 9.805e1 2.60969e32
2.e-6 1.e0 9.905e1 2.45682e32
2.e-6 1.e0 1.0005e2 2.31809e32
2.e-6 1.e0 1.0105e2 2.18682e32
2.e-6 1.e0 1.0205e2 2.0349e32
2.e-6 1.e0 1.0305e2 1.88116e32
2.e-6 1.e0 1.0405e2 1.7309e32
2.e-6 1.e0 1.0505e2 1.59082e32
2.e-6 1.e0 1.0605e2 1.46259e32
2.e-6 1.e0 1.0705e2 1.36547e32
2.e-6 1.e0 1.0805e2 1.28503e32
2.e-6 1.e0 1.0905e2 1.20938e32
2.e-6 1.e0 1.1005e2 1.13851e32
2.e-6 1.e0 1.1105e2 1.07195e32
2.e-6 1.e0 1.1205e2 1.01029e32
2.e-6 1.e0 1.1305e2 9.52232e31
2.e-6 1.e0 1.1405e2 8.9403e31
2.e-6 1.e0 1.1505e2 8.40168e31
2.e-6 1.e0 1.1605e2 7.89227e31
2.e-6 1.e0 1.1705e2 7.50458e31
2.e-6 1.e0 1.1805e2 7.21905e31
2.e-6 1.e0 1.1905e2 6.9689e31
2.e-6 1.e0 1.2005e2 6.72918e31
2.e-6 1.e0 1.2105e2 6.49839e31
2.e-6 1.e0 1.2205e2 6.21267e31
2.e-6 1.e0 1.2305e2 5.88542e31
2.e-6 1.e0 1.2405e2 5.57338e31
2.e-6 1.e0 1.2505e2 5.28072e31
2.e-6 1.e0 1.2605e2 5.00373e31
2.e-6 1.e0 1.2705e2 4.74273e31
2.e-6 1.e0 1.2805e2 4.49581e31
2.e-6 1.e0 1.2905e2 4.26248e31
2.e-6 1.e0 1.3005e2 4.04254e31
2.e-6 1.e0 1.3105e2 4.22189e31
2.e-6 1.e0 1.3205e2 5.34588e31
2.e-6 1.e0 1.3305e2 5.97595e31
2.e-6 1.e0 1.3405e2 6.41504e31
2.e-6 1.e0 1.3505e2 6.65986e31
2.e-6 1.e0 1.3605e2 1.98458e31
2.e-6 1.e0 1.3705e2 6.36476e30
2.e-6 1.e0 1.3805e2 3.11941e30
2.e-6 1.e0 1.3905e2 1.70357e30
2.e-6 1.e0 1.4005e2 1.01674e30
2.e-6 1.e0 1.4105e2 6.36862e29
2.e-6 1.e0 1.4205e2 4.14122e29
2.e-6 1.e0 1.4305e2 2.77284e29
2.e-6 1.e0 1.4405e2 1.90271e29
2.e-6 1.e0 1.4505e2 1.33347e29
2.e-6 1.e0 1.4605e2 9.51734e28
2.e-6 1.e0 1.4705e2 6.90402e28
2.e-6 1.e0 1.4805e2 5.07988e28
2.e-6 1.e0 1.4905e2 3.78499e28
2.e-6 1.e0 1.5005e2 2.85155e28
2.e-6 1.e0 1.5105e2 2.17044e28
2.e-6 1.e0 1.5205e2 1.66756e28
2.e-6 1.e0 1.5305e2 1.2919e28
2.e-6 1.e0 1.5405e2 1.00866e28
2.e-6 1.e0 1.5505e2 7.93229e27
2.e-6 1.e0 1.5605e2 6.27885e27
2.e-6 1.e0 1.5705e2 4.99933e27
2.e-6 1.e0 1.5805e2 4.00376e27
2.e-6 1.e0 1.5905e2 3.22157e27
2.e-6 1.e0 1.6005e2 2.57588e27
2.e-6 1.e0 1.6105e2 2.11499e27
2.e-6 1.e0 1.6205e2 1.72462e27
2.e-6 1.e0 1.6305e2 1.41159e27
2.e-6 1.e0 1.6405e2 1.15937e27
2.e-6 1.e0 1.6505e2 9.55355e26
2.e-6 1.e0 1.6605e2 7.89491e26
2.e-6 1.e0 1.6705e2 6.54386e26
2.e-6 1.e0 1.6805e2 5.43734e26
2.e-6 1.e0 1.6905e2 4.52852e26
